gene_name,antibiotics
OXA-10,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
OXA-2,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
IMP,"cefoxitin, cefmetazole, cefotetan, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, aztreonam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
CARB/PSE,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin"
CMY/CMY-2/CFE/LAT,"cefoxitin, cefmetazole, cefotetan, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, aztreonam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
OKP-B,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin"
OXA-50,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
PDC,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem, aztreonam"
VEB,"cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
PER,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
BlaR1,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin"
MecA,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin"
BlaZ,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin"
AmpH,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
OXA-51,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem"
LEN,"ampicillin, amoxicillin, carbenicillin, ticarcillin"
OXA-213,"methicillin,cloxacillin,carbenicillin,penicillin,amoxicillin,piperacillin,oxacillin,benzylpenicillin,phenoxymethylpenicillin,propicillin,dicloxacillin,flucloxacillin,ampicillin,azlocillin,mezlocillin,isopenicillin N,penicillin N,mecillinam,temocillin,nafcillin,pivmecillinam, faropenem, ticarcillin, cefazolin,cefepime,ceftazidime,ceftobiprole,ceftriaxone,cefuroxime,cefalexin,cefadroxil,cefotiam,cefaclor,cefotaxime,cefixime,cefpodoxime,ceftibuten,cefditoren,cefdinir,ceftaroline,cefalotin,ceftolozane,cefamandole,cefetamet,cefonicid,cefoperazone,cefprozil,ceftizoxime,cephapirin,cefradine,loracarbef,moxalactam,ceftiofur,cephaloridine,cefiderocol,cefpirome,cefsulodin,cefovecin,cefcapene,cefquinome"
OXA-1,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
LAP,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
EstX, "tylosin, tidipirosin, tilmicosin, leucomycin A5"
GES,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, ertapenem, meropenem, imipenem, doripenem, panipenem, tebipenem, biapenem, sulopenem, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome"
OXA-9,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam"
OXA-58,"methicillin, cloxacillin, carbenicillin, penicillin, amoxicillin, piperacillin, oxacillin, benzylpenicillin, phenoxymethylpenicillin, propicillin, dicloxacillin, flucloxacillin, ampicillin, azlocillin, mezlocillin, isopenicillin N, penicillin N, mecillinam, temocillin, nafcillin, pivmecillinam, faropenem, ticarcillin, cefazolin, cefepime, ceftazidime, ceftobiprole, ceftriaxone, cefuroxime, cefalexin, cefadroxil, cefotiam, cefaclor, cefotaxime, cefixime, cefpodoxime, ceftibuten, cefditoren, cefdinir, ceftaroline, cefalotin, ceftolozane, cefamandole, cefetamet, cefonicid, cefoperazone, cefprozil, ceftizoxime, cephapirin, cefradine, loracarbef, moxalactam, ceftiofur, cephaloridine, cefiderocol, cefpirome, cefsulodin, cefovecin, cefcapene, cefquinome, aztreonam"
